group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insert 10000 elements in the AvlTreee,,,,,699747816.0,ns,1
insert 10000 elements in the AvlTreee,,,,,710125069.0,ns,1
insert 10000 elements in the AvlTreee,,,,,675419698.0,ns,1
insert 10000 elements in the AvlTreee,,,,,689143082.0,ns,1
insert 10000 elements in the AvlTreee,,,,,715530233.0,ns,1
insert 10000 elements in the AvlTreee,,,,,708645816.0,ns,1
insert 10000 elements in the AvlTreee,,,,,702853061.0,ns,1
insert 10000 elements in the AvlTreee,,,,,697058209.0,ns,1
insert 10000 elements in the AvlTreee,,,,,691536657.0,ns,1
insert 10000 elements in the AvlTreee,,,,,720076655.0,ns,1
insert 10000 elements in the AvlTreee,,,,,752263502.0,ns,1
insert 10000 elements in the AvlTreee,,,,,718629831.0,ns,1
insert 10000 elements in the AvlTreee,,,,,711430036.0,ns,1
insert 10000 elements in the AvlTreee,,,,,708539210.0,ns,1
insert 10000 elements in the AvlTreee,,,,,736830307.0,ns,1
insert 10000 elements in the AvlTreee,,,,,682686152.0,ns,1
insert 10000 elements in the AvlTreee,,,,,702063349.0,ns,1
insert 10000 elements in the AvlTreee,,,,,705212640.0,ns,1
insert 10000 elements in the AvlTreee,,,,,737089595.0,ns,1
insert 10000 elements in the AvlTreee,,,,,754759503.0,ns,1
insert 10000 elements in the AvlTreee,,,,,714338730.0,ns,1
insert 10000 elements in the AvlTreee,,,,,705594268.0,ns,1
insert 10000 elements in the AvlTreee,,,,,729603689.0,ns,1
insert 10000 elements in the AvlTreee,,,,,737716744.0,ns,1
insert 10000 elements in the AvlTreee,,,,,749287625.0,ns,1
insert 10000 elements in the AvlTreee,,,,,733397798.0,ns,1
insert 10000 elements in the AvlTreee,,,,,714835885.0,ns,1
insert 10000 elements in the AvlTreee,,,,,712116713.0,ns,1
insert 10000 elements in the AvlTreee,,,,,741837141.0,ns,1
insert 10000 elements in the AvlTreee,,,,,747695514.0,ns,1
insert 10000 elements in the AvlTreee,,,,,720338757.0,ns,1
insert 10000 elements in the AvlTreee,,,,,823019622.0,ns,1
insert 10000 elements in the AvlTreee,,,,,740284731.0,ns,1
insert 10000 elements in the AvlTreee,,,,,735836929.0,ns,1
insert 10000 elements in the AvlTreee,,,,,698382474.0,ns,1
insert 10000 elements in the AvlTreee,,,,,705713381.0,ns,1
insert 10000 elements in the AvlTreee,,,,,709641293.0,ns,1
insert 10000 elements in the AvlTreee,,,,,698524271.0,ns,1
insert 10000 elements in the AvlTreee,,,,,723778232.0,ns,1
insert 10000 elements in the AvlTreee,,,,,749507991.0,ns,1
insert 10000 elements in the AvlTreee,,,,,766193236.0,ns,1
insert 10000 elements in the AvlTreee,,,,,712497245.0,ns,1
insert 10000 elements in the AvlTreee,,,,,731728670.0,ns,1
insert 10000 elements in the AvlTreee,,,,,736280845.0,ns,1
insert 10000 elements in the AvlTreee,,,,,805037864.0,ns,1
insert 10000 elements in the AvlTreee,,,,,761503512.0,ns,1
insert 10000 elements in the AvlTreee,,,,,749560687.0,ns,1
insert 10000 elements in the AvlTreee,,,,,751954794.0,ns,1
insert 10000 elements in the AvlTreee,,,,,747659753.0,ns,1
insert 10000 elements in the AvlTreee,,,,,751889051.0,ns,1
insert 10000 elements in the AvlTreee,,,,,821749670.0,ns,1
insert 10000 elements in the AvlTreee,,,,,732636866.0,ns,1
insert 10000 elements in the AvlTreee,,,,,798237180.0,ns,1
insert 10000 elements in the AvlTreee,,,,,782423514.0,ns,1
insert 10000 elements in the AvlTreee,,,,,802784729.0,ns,1
insert 10000 elements in the AvlTreee,,,,,818541087.0,ns,1
insert 10000 elements in the AvlTreee,,,,,799188585.0,ns,1
insert 10000 elements in the AvlTreee,,,,,775159845.0,ns,1
insert 10000 elements in the AvlTreee,,,,,777410714.0,ns,1
insert 10000 elements in the AvlTreee,,,,,770953943.0,ns,1
insert 10000 elements in the AvlTreee,,,,,924828292.0,ns,1
insert 10000 elements in the AvlTreee,,,,,975643814.0,ns,1
insert 10000 elements in the AvlTreee,,,,,891504134.0,ns,1
insert 10000 elements in the AvlTreee,,,,,866494582.0,ns,1
insert 10000 elements in the AvlTreee,,,,,840342149.0,ns,1
insert 10000 elements in the AvlTreee,,,,,1067605404.0,ns,1
insert 10000 elements in the AvlTreee,,,,,1007309406.0,ns,1
insert 10000 elements in the AvlTreee,,,,,1012041520.0,ns,1
insert 10000 elements in the AvlTreee,,,,,838811966.0,ns,1
insert 10000 elements in the AvlTreee,,,,,761954281.0,ns,1
insert 10000 elements in the AvlTreee,,,,,891913654.0,ns,1
insert 10000 elements in the AvlTreee,,,,,877108039.0,ns,1
insert 10000 elements in the AvlTreee,,,,,1025155344.0,ns,1
insert 10000 elements in the AvlTreee,,,,,889882184.0,ns,1
insert 10000 elements in the AvlTreee,,,,,1005294764.0,ns,1
insert 10000 elements in the AvlTreee,,,,,885080264.0,ns,1
insert 10000 elements in the AvlTreee,,,,,830468512.0,ns,1
insert 10000 elements in the AvlTreee,,,,,894430817.0,ns,1
insert 10000 elements in the AvlTreee,,,,,998973904.0,ns,1
insert 10000 elements in the AvlTreee,,,,,981686925.0,ns,1
insert 10000 elements in the AvlTreee,,,,,869528392.0,ns,1
insert 10000 elements in the AvlTreee,,,,,850258116.0,ns,1
insert 10000 elements in the AvlTreee,,,,,851096396.0,ns,1
insert 10000 elements in the AvlTreee,,,,,810965464.0,ns,1
insert 10000 elements in the AvlTreee,,,,,827191625.0,ns,1
insert 10000 elements in the AvlTreee,,,,,856168868.0,ns,1
insert 10000 elements in the AvlTreee,,,,,794697122.0,ns,1
insert 10000 elements in the AvlTreee,,,,,840401543.0,ns,1
insert 10000 elements in the AvlTreee,,,,,846279842.0,ns,1
insert 10000 elements in the AvlTreee,,,,,842992070.0,ns,1
insert 10000 elements in the AvlTreee,,,,,800523153.0,ns,1
insert 10000 elements in the AvlTreee,,,,,769263473.0,ns,1
insert 10000 elements in the AvlTreee,,,,,765769230.0,ns,1
insert 10000 elements in the AvlTreee,,,,,787586076.0,ns,1
insert 10000 elements in the AvlTreee,,,,,786519288.0,ns,1
insert 10000 elements in the AvlTreee,,,,,763658698.0,ns,1
insert 10000 elements in the AvlTreee,,,,,1033656786.0,ns,1
insert 10000 elements in the AvlTreee,,,,,759200464.0,ns,1
insert 10000 elements in the AvlTreee,,,,,788262478.0,ns,1
insert 10000 elements in the AvlTreee,,,,,822621205.0,ns,1
